	Energy	Entropy	Label
43934	0.16985304499999998	2.7390509367419	F
43935	0.14950473374999998	2.854465891324109	F
43936	0.15600591625	2.818813160126636	F
43937	0.17607871625000002	2.725603567059234	F
43938	0.169444555	2.739517219384047	F
43939	0.2518144675	2.4083624704466042	F
43940	0.15421726624999998	2.827325470907493	F
43941	0.155068975	2.822107703134745	F
43942	0.17492556375	2.715980069646219	F
43943	0.171752955	2.73178455110372	F
43944	0.15081893375	2.8498320426048767	F
43945	0.15184739125000002	2.842523329792466	F
43946	0.17656638500000005	2.721952376064346	F
43947	0.17165526999999997	2.738056965212653	F
43948	0.15527163625	2.8204808975953917	F
43949	0.15111197375	2.852862024773774	F
43950	0.15040005	2.8574800344170495	F
43951	0.17028297999999997	2.734173415968042	F
43952	0.15030873	2.853812638119922	F
43953	0.15502624499999998	2.8197780021605605	F
43954	0.15402567625	2.826809869831381	F
43955	0.15564590875	2.8165072905042736	F
43956	0.15633850625	2.813861673034994	F
43957	0.17281299875	2.732580400030233	F
43958	0.15653449875	2.814637733834773	F
43959	0.16797632499999998	2.746115861945159	F
43960	0.1690926725	2.7396747445231107	F
43961	0.14960567000000002	2.8590417963246657	F
43962	0.17091094375	2.735648668659831	F
43963	0.16920135749999998	2.739957423472241	F
43964	0.16807148875	2.7459669029363365	F
43965	0.1732605275	2.72656037359923	F
43966	0.16852455375	2.746126110690187	F
43967	0.17944562375	2.6910583517411593	F
43968	0.21745149375000003	2.533855443350412	F
43969	0.15727509250000002	2.8099210406831183	F
43970	0.26379994375000004	2.361893322648524	F
43971	0.1703237075	2.7366367946174726	F
43972	0.17440295625	2.7196476239631537	F
43973	0.14912021375	2.8619045895185886	F
43974	0.15566552375	2.816672022698503	F
43975	0.150580575	2.85417451572238	F
43976	0.15135061875	2.8529687330405045	F
43977	0.1579136375	2.8061438389619386	F
43978	0.15176968124999998	2.8523308573744233	F
43979	0.15464951625	2.825741110758673	F
43980	0.16796461	2.75051094091205	F
43981	0.1566429425	2.811313008212152	F
43982	0.15602449375	2.815390878833866	F
43983	0.16927853999999998	2.7462483241650872	F
43984	0.17241738750000002	2.7265279688065736	F
43985	0.17391107375	2.721825507331996	F
43986	0.175202705	2.711580334222535	F
